Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR9733836,2019-07-31 02:09:31,2019-07-31 00:26:36,1446760,174825626,0,120,129,,https://sra-download.ncbi.nlm.nih.gov/traces/sra39/SRR/009505/SRR9733836,SRX6490851,16_GR_13,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP133040,PRJNA307517,2,307517,SRS2978305,SAMN04868736,simple,573,Klebsiella pneumoniae,16_GR_13,,,,,,,no,,,,,THE UNIVERSITY OF QUEENSLAND,SRA924935,,public,29CE43542845D033319E86E6C3E95270,919F6727F1BF460692336FB8EC1C7C5A
SRR9733838,2019-07-31 02:09:31,2019-07-31 00:26:35,974841,76567865,0,78,57,,https://sra-download.ncbi.nlm.nih.gov/traces/sra19/SRR/009505/SRR9733838,SRX6490849,1_GR_13,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP133040,PRJNA307517,2,307517,SRS2978308,SAMN04868721,simple,573,Klebsiella pneumoniae,1_GR_13,,,,,,,no,,,,,THE UNIVERSITY OF QUEENSLAND,SRA924935,,public,AED5E7983B16251BAB8AE00BF375C40E,0ADAF4218669F1BDD7003FE16428F2CF
SRR9733835,2019-07-31 02:09:31,2019-07-31 00:26:36,1175902,96539493,0,82,72,,https://sra-download.ncbi.nlm.nih.gov/traces/sra9/SRR/009505/SRR9733835,SRX6490852,20_GR_12,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP133040,PRJNA307517,2,307517,SRS2978306,SAMN04868740,simple,573,Klebsiella pneumoniae,20_GR_12,,,,,,,no,,,,,THE UNIVERSITY OF QUEENSLAND,SRA924935,,public,64DC1DA82959609291B083791646620B,F8EE5759D9E2F906AFCFEDA106656CED
SRR9733837,2019-07-31 02:09:31,2019-07-31 00:26:36,558082,127060762,0,227,112,,https://sra-download.ncbi.nlm.nih.gov/traces/sra39/SRR/009505/SRR9733837,SRX6490850,2_GR_12,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP133040,PRJNA307517,2,307517,SRS2978307,SAMN04868722,simple,573,Klebsiella pneumoniae,2_GR_12,,,,,,,no,,,,,THE UNIVERSITY OF QUEENSLAND,SRA924935,,public,B1500EF7E6833FC7A2CD9C6392FDE22C,859F21CF25534FB00C1719C0B95B200B
SRR9286017,2019-06-13 17:35:05,2019-06-12 20:05:49,10217574,510878700,0,50,211,,https://sra-download.ncbi.nlm.nih.gov/traces/sra42/SRR/009068/SRR9286017,SRX6055715,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP201241,PRJNA548557,,548557,SRS4958074,SAMN12041576,simple,573,Klebsiella pneumoniae,GSM3883443,,,,,,,no,,,,,GEO,SRA898102,,public,DDB817DBB39FDC5AC4FD6DB3C3CE7EC7,BE83D89F854D71AA7FEB9F4746FEA6C3
SRR9286018,2019-06-13 17:35:05,2019-06-12 20:05:46,5859430,292971500,0,50,121,,https://sra-download.ncbi.nlm.nih.gov/traces/sra25/SRR/009068/SRR9286018,SRX6055716,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP201241,PRJNA548557,,548557,SRS4958073,SAMN12041575,simple,573,Klebsiella pneumoniae,GSM3883444,,,,,,,no,,,,,GEO,SRA898102,,public,AF15DE90768DF4D9515F79C010F88273,1F85AC42F88EB6C26AA2A1CE23B91086
SRR9286019,2019-06-13 17:35:05,2019-06-12 20:06:29,9491486,474574300,0,50,197,,https://sra-download.ncbi.nlm.nih.gov/traces/sra74/SRR/009068/SRR9286019,SRX6055717,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP201241,PRJNA548557,,548557,SRS4958077,SAMN12041574,simple,573,Klebsiella pneumoniae,GSM3883445,,,,,,,no,,,,,GEO,SRA898102,,public,C5C3559B6AECD63663C98A43BC043106,A6A5CA35655E37E35BFAABEF160431DF
SRR9286020,2019-06-13 17:35:05,2019-06-12 20:06:20,10508856,525442800,0,50,219,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/009068/SRR9286020,SRX6055718,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP201241,PRJNA548557,,548557,SRS4958072,SAMN12041573,simple,573,Klebsiella pneumoniae,GSM3883446,,,,,,,no,,,,,GEO,SRA898102,,public,E3A1F6042E64F5AAB4F4BCADFF2B9DF6,FB377907B9D180CE6DF99EF223DBCF80
SRR9286021,2019-06-13 17:35:05,2019-06-12 20:07:16,13974568,698728400,0,50,291,,https://sra-download.ncbi.nlm.nih.gov/traces/sra14/SRR/009068/SRR9286021,SRX6055719,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP201241,PRJNA548557,,548557,SRS4958075,SAMN12041572,simple,573,Klebsiella pneumoniae,GSM3883447,,,,,,,no,,,,,GEO,SRA898102,,public,D5E5746319044A73B50D8FE5896EF88B,7FF401A47C6EE72B54421B18E70A1C92
SRR9286022,2019-06-13 17:35:05,2019-06-12 20:06:38,12253555,612677750,0,50,253,,https://sra-download.ncbi.nlm.nih.gov/traces/sra9/SRR/009068/SRR9286022,SRX6055720,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP201241,PRJNA548557,,548557,SRS4958076,SAMN12041571,simple,573,Klebsiella pneumoniae,GSM3883448,,,,,,,no,,,,,GEO,SRA898102,,public,5FF9CFD20C2111C51276B867B93B5622,0DA1753E1855A42558B1F8BCEED14008
SRR10226797,2019-10-04 01:51:05,2019-10-03 13:42:21,1765303,268326056,1765303,152,107,,https://sra-download.ncbi.nlm.nih.gov/traces/sra30/SRR/009987/SRR10226797,SRX6946348,K6-CIP-10-1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP224105,PRJNA575723,,575723,SRS5474381,SAMN12908417,simple,573,Klebsiella pneumoniae,K6-CIP-10-1,,,,,,,no,,,,,STANFORD UNIVERSITY SCHOOL OF MEDICINE,SRA972396,,public,2E66FCD2F91B6803402C70A2788CC429,444DBABADB4DA13FDCDF67CA5F9CE1D1
SRR10226796,2019-10-04 01:51:05,2019-10-03 13:42:10,1709385,259826520,1709385,152,106,,https://sra-download.ncbi.nlm.nih.gov/traces/sra6/SRR/009987/SRR10226796,SRX6946349,K6-CIP-10-2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP224105,PRJNA575723,,575723,SRS5474382,SAMN12908418,simple,573,Klebsiella pneumoniae,K6-CIP-10-2,,,,,,,no,,,,,STANFORD UNIVERSITY SCHOOL OF MEDICINE,SRA972396,,public,CCC72627D487C3298D0368E1C92D0416,3ED14B427ECB025ADA578DE6B08A011D
