"","centroid","annotations","protein"
"1","centroid_1","   99982 Energy metabolism","mioC"
"2","centroid_1","  09191 Unclassified: metabolism","mioC"
"3","centroid_1"," 09190 Not Included in Pathway or Brite","mioC"
"4","centroid_10","   02000 Transporters [BR:kpu02000]","rbsB"
"5","centroid_10","   02010 ABC transporters","rbsB"
"6","centroid_10","   02030 Bacterial chemotaxis","rbsB"
"7","centroid_10","  09131 Membrane transport","rbsB"
"8","centroid_10","  09142 Cell motility","rbsB"
"9","centroid_10","  09183 Protein families: signaling and cellular processes","rbsB"
"10","centroid_10"," 09130 Environmental Information Processing","rbsB"
"11","centroid_10"," 09140 Cellular Processes","rbsB"
"12","centroid_10"," 09180 Brite Hierarchies","rbsB"
"13","centroid_100","    1.6.1.1  NAD(P)+ transhydrogenase (Si-specific)","udhA"
"14","centroid_100","   00760 Nicotinate and nicotinamide metabolism","udhA"
"15","centroid_100","   1.6.1  With NAD+ or NADP+ as acceptor","udhA"
"16","centroid_100","  09108 Metabolism of cofactors and vitamins","udhA"
"17","centroid_100","  1.6  Acting on NADH or NADPH","udhA"
"18","centroid_100"," 09100 Metabolism","udhA"
"19","centroid_100"," 1. Oxidoreductases","udhA"
"20","centroid_1000","    3.1.3.27  phosphatidylglycerophosphatase","pgpA"
"21","centroid_1000","   00564 Glycerophospholipid metabolism","pgpA"
"22","centroid_1000","   3.1.3  Phosphoric-monoester hydrolases","pgpA"
"23","centroid_1000","  09103 Lipid metabolism","pgpA"
"24","centroid_1000","  3.1  Acting on ester bonds","pgpA"
"25","centroid_1000"," 09100 Metabolism","pgpA"
"26","centroid_1000"," 3. Hydrolases","pgpA"
"27","centroid_1001","    1.1.-.-","yajO"
"28","centroid_1001","   1.1.-  Acting on the CH-OH group of donors","yajO"
"29","centroid_1001","   99980 Enzymes with EC numbers","yajO"
"30","centroid_1001","  09191 Unclassified: metabolism","yajO"
"31","centroid_1001","  1.1  Acting on the CH-OH group of donors","yajO"
"32","centroid_1001"," 09190 Not Included in Pathway or Brite","yajO"
"33","centroid_1001"," 1. Oxidoreductases","yajO"
"34","centroid_10015","   99997 Function unknown","yaaH"
"35","centroid_10015","  09194 Poorly characterized","yaaH"
"36","centroid_10015"," 09190 Not Included in Pathway or Brite","yaaH"
"37","centroid_10018","   03018 RNA degradation","dnaK"
"38","centroid_10018","   03019 Messenger RNA biogenesis [BR:kpn03019]","dnaK"
"39","centroid_10018","   03029 Mitochondrial biogenesis [BR:kpn03029]","dnaK"
"40","centroid_10018","   03110 Chaperones and folding catalysts [BR:kpn03110]","dnaK"
"41","centroid_10018","   04147 Exosome [BR:kpn04147]","dnaK"
"42","centroid_10018","  09123 Folding, sorting and degradation","dnaK"
"43","centroid_10018","  09182 Protein families: genetic information processing","dnaK"
"44","centroid_10018","  09183 Protein families: signaling and cellular processes","dnaK"
"45","centroid_10018"," 09120 Genetic Information Processing","dnaK"
"46","centroid_10018"," 09180 Brite Hierarchies","dnaK"
"47","centroid_10019","   03029 Mitochondrial biogenesis [BR:kpn03029]","dnaJ"
"48","centroid_10019","   03110 Chaperones and folding catalysts [BR:kpn03110]","dnaJ"
"49","centroid_10019","  09182 Protein families: genetic information processing","dnaJ"
"50","centroid_10019"," 09180 Brite Hierarchies","dnaJ"
"51","centroid_1002","    2.2.1.7  1-deoxy-D-xylulose-5-phosphate synthase","dxs"
